Systematic Name,Transcriptional Plasticity
YDL074C,0.160163516
YLR318W,0.160321153
YGR140W,0.160425305
YDL202W,0.160454389
YDR053W,0.16056524
YDR440W,0.160572118
YNL261W,0.160608541
YGL124C,0.160691939
YNL218W,0.160711847
YJL009W,0.160715738
YKR038C,0.160811717
YDL113C,0.160880327
YHR134W,0.160901459
YDR268W,0.16096674
YNL063W,0.160973223
YBL046W,0.161093121
YBR022W,0.161113719
YPL176C,0.161116569
YPL175W,0.161150268
YHR167W,0.161150878
YGR025W,0.161267847
YDR520C,0.161327393
YMR055C,0.161342976
YJL077C,0.161349235
YGR276C,0.161416919
YHR201C,0.16159258
YHR207C,0.161598924
YML076C,0.161604772
YBR264C,0.161671654
YGL144C,0.161682161
YHR079C,0.161776772
YOL138C,0.161835136
YGR202C,0.161888282
YNR028W,0.161921198
YKR055W,0.162133474
YIL048W,0.162139753
YKL076C,0.162263146
YDR392W,0.162273818
YMR137C,0.162276771
YPL161C,0.162401359
YHR021W-A,0.162405852
YJL140W,0.162424528
YGR193C,0.162434621
YNL176C,0.16243925
YBR057C,0.162455036
YLR427W,0.162466634
YKL018W,0.162484078
YLR268W,0.162499772
YGL109W,0.162565943
YLR459W,0.162626934
YLR088W,0.162673169
YBR229C,0.16283418
YCR064C,0.162867249
YJL003W,0.162923724
YDR240C,0.162939071
YGL024W,0.162964539
YDL090C,0.163006016
YLR446W,0.163032459
YDL076C,0.163034469
YDR227W,0.163038938
YCL017C,0.163088192
YDR468C,0.163099621
YDR378C,0.163118338
YJL029C,0.163122167
YPR022C,0.163200501
YER059W,0.163204508
YNR008W,0.163222761
YMR100W,0.16341278
YGR089W,0.163443053
YMR013C,0.163642852
YBL059W,0.163647456
YGR117C,0.163663328
YOR333C,0.163677693
YNL304W,0.163700936
YNL185C,0.163796015
YDR493W,0.163836876
YDR389W,0.163927379
YLR352W,0.163928141
YOR334W,0.163981485
YML114C,0.164012408
YOR115C,0.164016366
YKL174C,0.16403299
YIL061C,0.164080815
YJL032W,0.164112162
YDL094C,0.164145845
YDR167W,0.164201784
YBL096C,0.16423661
YPR051W,0.164245598
YHR191C,0.164335417
YCL061C,0.164342459
YKL047W,0.164390154
YER034W,0.164421357
YHR117W,0.164485457
YGR221C,0.164494976
YJL156C,0.164500774
YML023C,0.16452995
YER105C,0.164538596
YMR176W,0.164562749
YLR224W,0.16461665
YOL043C,0.164620135
YDR319C,0.164664112
YNR004W,0.164688756
YDR305C,0.164692958
YOL001W,0.164735618
YIL132C,0.16476534
YKR002W,0.164765787
YLR020C,0.164767789
YKR072C,0.164772439
