go_c,count,Systematic Name
P-body,52,"['YAL021C', 'YBL026W', 'YBL032W', 'YBR094W', 'YBR111W-A', 'YBR212W', 'YBR238C', 'YCR077C', 'YCR093W', 'YDL160C', 'YDR206W', 'YDR293C', 'YDR378C', 'YDR404C', 'YDR505C', 'YDR533C', 'YEL015W', 'YER112W', 'YGL049C', 'YGL094C', 'YGL173C', 'YGR162W', 'YHL034C', 'YIL038C', 'YJL124C', 'YJL140W', 'YKL025C', 'YKL166C', 'YLR136C', 'YLR270W', 'YLR438C-A', 'YML017W', 'YMR322C', 'YNL016W', 'YNL085W', 'YNL118C', 'YNL157W', 'YNL197C', 'YNL255C', 'YNL288W', 'YNR051C', 'YNR052C', 'YOL149W', 'YOR173W', 'YOR359W', 'YOR391C', 'YPL105C', 'YPL184C', 'YPL203W', 'YPL280W', 'YPR072W', 'YPR129W']"
PAN complex,2,"['YGL094C', 'YKL025C']"
PAS complex,5,"['YFR019W', 'YFR021W', 'YLR386W', 'YNL054W', 'YNL325C']"
PCNA complex,1,['YBR088C']
PcG protein complex,2,"['YBR066C', 'YDR043C']"
PeBoW complex,3,"['YGR103W', 'YMR049C', 'YOR272W']"
Pex17p-Pex14p docking complex,4,"['YDL065C', 'YGL153W', 'YLR191W', 'YNL214W']"
Pho85-Pho80 CDK-cyclin complex,2,"['YOL001W', 'YPL031C']"
Piccolo NuA4 histone acetyltransferase complex,3,"['YFL024C', 'YHR090C', 'YOR244W']"
Pip2-Oaf1 complex,2,"['YAL051W', 'YOR363C']"
Prp19 complex,11,"['YBR065C', 'YBR188C', 'YDL209C', 'YDR416W', 'YGR129W', 'YJR050W', 'YLL036C', 'YLR117C', 'YMR213W', 'YPL151C', 'YPR101W']"
Pwp2p-containing subcomplex of 90S preribosome,6,"['YCR057C', 'YDR449C', 'YJL069C', 'YLR129W', 'YLR222C', 'YLR409C']"
R2TP complex,4,"['YCR060W', 'YDR190C', 'YHR034C', 'YPL235W']"
RAVE complex,3,"['YDR202C', 'YDR328C', 'YJR033C']"
RENT complex,3,"['YDL042C', 'YFR028C', 'YJL076W']"
RES complex,3,"['YGL174W', 'YIR005W', 'YLR016C']"
RIC1-RGP1 guanyl-nucleotide exchange factor complex,2,"['YDR137W', 'YLR039C']"
RNA nuclear export complex,1,['YDR335W']
RNA polymerase I core factor complex,3,"['YBL014C', 'YJL025W', 'YML043C']"
