complex,count,Systematic Name
RNA polymerase I upstream activating factor complex,5,"['YBL025W', 'YER148W', 'YLR141W', 'YMR270C', 'YOR295W']"
RNA polymerase II transcription factor complex,66,"['YAL051W', 'YBL021C', 'YBL093C', 'YBR193C', 'YBR198C', 'YBR253W', 'YCR042C', 'YDL005C', 'YDL056W', 'YDL108W', 'YDR079C-A', 'YDR123C', 'YDR145W', 'YDR167W', 'YDR308C', 'YDR311W', 'YDR460W', 'YER022W', 'YER111C', 'YER148W', 'YER171W', 'YGL025C', 'YGL112C', 'YGL127C', 'YGL237C', 'YGR005C', 'YGR104C', 'YGR186W', 'YGR274C', 'YHR041C', 'YHR058C', 'YIL143C', 'YKL028W', 'YKL058W', 'YKL109W', 'YKR062W', 'YLR005W', 'YLR071C', 'YLR182W', 'YML015C', 'YML098W', 'YML114C', 'YMR005W', 'YMR112C', 'YMR227C', 'YMR236W', 'YNL236W', 'YNL309W', 'YNR009W', 'YNR010W', 'YOL051W', 'YOL108C', 'YOL135C', 'YOR083W', 'YOR174W', 'YOR194C', 'YOR352W', 'YOR358W', 'YOR363C', 'YPL011C', 'YPL122C', 'YPL129W', 'YPR025C', 'YPR056W', 'YPR070W', 'YPR168W']"
RQC complex,6,"['YBR170C', 'YDL126C', 'YDR333C', 'YGR048W', 'YMR247C', 'YPL009C']"
RSC complex,17,"['YBL006C', 'YCR020W-B', 'YCR052W', 'YDR303C', 'YFR037C', 'YGR056W', 'YGR275W', 'YHR056C', 'YIL126W', 'YKR008W', 'YLR033W', 'YLR321C', 'YLR357W', 'YML127W', 'YMR033W', 'YMR091C', 'YPR034W']"
Rab-protein geranylgeranyltransferase complex,3,"['YJL031C', 'YOR370C', 'YPR176C']"
Rad17 RFC-like complex,5,"['YBR087W', 'YER173W', 'YJR068W', 'YNL290W', 'YOL094C']"
Rad6-Rad18 complex,2,"['YCR066W', 'YGL058W']"
RecQ helicase-Topo III complex,3,"['YLR234W', 'YMR190C', 'YPL024W']"
Rhp55-Rhp57 complex,2,"['YDR004W', 'YDR076W']"
Rix1 complex,3,"['YHR085W', 'YHR197W', 'YNL182C']"
Rpd3L complex,12,"['YAL013W', 'YBR095C', 'YDL076C', 'YDR207C', 'YIL084C', 'YKL185W', 'YMR263W', 'YNL097C', 'YNL330C', 'YOL004W', 'YPL139C', 'YPL181W']"
Rpd3L-Expanded complex,19,"['YAL013W', 'YBL054W', 'YBR095C', 'YBR103W', 'YCR033W', 'YDL076C', 'YDR207C', 'YER088C', 'YGL194C', 'YIL084C', 'YKL185W', 'YKR029C', 'YLR183C', 'YMR263W', 'YNL097C', 'YNL330C', 'YOL004W', 'YPL139C', 'YPL181W']"
Rpd3S complex,5,"['YMR075W', 'YNL330C', 'YOL004W', 'YPL139C', 'YPR023C']"
Rvs161p-Rvs167p complex,2,"['YCR009C', 'YDR388W']"
SAGA complex,20,"['YBR081C', 'YBR111W-A', 'YBR198C', 'YCL010C', 'YDR145W', 'YDR167W', 'YDR176W', 'YDR392W', 'YDR448W', 'YER164W', 'YGL066W', 'YGL112C', 'YGR252W', 'YHR099W', 'YLR055C', 'YMR223W', 'YMR236W', 'YOL148C', 'YPL047W', 'YPL254W']"
SAS acetyltransferase complex,3,"['YDR181C', 'YMR127C', 'YOR213C']"
SBF transcription complex,4,"['YER111C', 'YLR182W', 'YNL309W', 'YOR083W']"
SCF ubiquitin ligase complex,19,"['YBR280C', 'YDL132W', 'YDR054C', 'YDR131C', 'YDR219C', 'YDR306C', 'YDR328C', 'YFL009W', 'YIL046W', 'YJL149W', 'YJR090C', 'YLR097C', 'YLR224W', 'YLR352W', 'YLR368W', 'YML088W', 'YNL311C', 'YOL133W', 'YOR080W']"
SLIK (SAGA-like) complex,17,"['YBR081C', 'YBR198C', 'YDR145W', 'YDR167W', 'YDR176W', 'YDR392W', 'YDR448W', 'YER164W', 'YGL066W', 'YGL112C', 'YGL252C', 'YGR252W', 'YHR099W', 'YMR223W', 'YMR236W', 'YOL148C', 'YPL254W']"
SMC loading complex,2,"['YDR180W', 'YER147C']"
SNARE complex,25,"['YAL030W', 'YBL050W', 'YDR189W', 'YDR468C', 'YDR498C', 'YGL095C', 'YGL098W', 'YGL212W', 'YGR009C', 'YHL031C', 'YIL004C', 'YKL006C-A', 'YKL196C', 'YLR026C', 'YLR078C', 'YLR093C', 'YLR268W', 'YMR017W', 'YMR197C', 'YNR049C', 'YOL018C', 'YOR075W', 'YOR106W', 'YOR327C', 'YPL232W']"
SPOTS complex,6,"['YBR058C-A', 'YDR062W', 'YGR038W', 'YKL212W', 'YLR350W', 'YMR296C']"
SUMO activating enzyme complex,2,"['YDR390C', 'YPR180W']"
SUMO-targeted ubiquitin ligase complex,2,"['YDL013W', 'YER116C']"
SWI/SNF complex,12,"['YBR289W', 'YDR073W', 'YFL049W', 'YGR275W', 'YHL025W', 'YJL176C', 'YMR033W', 'YNR023W', 'YOR290C', 'YPL016W', 'YPL129W', 'YPR034W']"
Sec61 translocon complex,3,"['YDR086C', 'YER087C-B', 'YLR378C']"
Sec62/Sec63 complex,4,"['YBR171W', 'YLR292C', 'YOR254C', 'YPL094C']"
Seh1-associated complex,8,"['YBL104C', 'YDR128W', 'YEL062W', 'YGL100W', 'YHL023C', 'YJR138W', 'YLR208W', 'YOL138C']"
Set1C/COMPASS complex,8,"['YAR003W', 'YBR175W', 'YBR258C', 'YDR469W', 'YHR119W', 'YKL018W', 'YLR015W', 'YPL138C']"
Set3 complex,7,"['YBR103W', 'YCR033W', 'YDR155C', 'YGL194C', 'YIL112W', 'YKR029C', 'YOL068C']"
Shu complex,4,"['YDR078C', 'YHL006C', 'YIL132C', 'YLR376C']"
Sin3-type complex,16,"['YAL013W', 'YBR095C', 'YDL076C', 'YDR207C', 'YIL084C', 'YKL185W', 'YMR053C', 'YMR075W', 'YMR263W', 'YNL097C', 'YNL309W', 'YNL330C', 'YOL004W', 'YPL139C', 'YPL181W', 'YPR023C']"
Ski complex,4,"['YGL213C', 'YLR398C', 'YOR076C', 'YPR189W']"
Slx1-Slx4 complex,2,"['YBR228W', 'YLR135W']"
Smc5-Smc6 complex,8,"['YDL105W', 'YDR288W', 'YEL019C', 'YER038C', 'YLR007W', 'YLR383W', 'YML023C', 'YOL034W']"
Snt2C complex,3,"['YGL131C', 'YMR176W', 'YNL330C']"
Ssh1 translocon complex,3,"['YBR283C', 'YDR086C', 'YER019C-A']"
Ste12p-Dig1p-Dig2p complex,3,"['YDR480W', 'YHR084W', 'YPL049C']"
Swr1 complex,14,"['YAL011W', 'YBR231C', 'YDR190C', 'YDR334W', 'YDR485C', 'YFL039C', 'YGR002C', 'YJL081C', 'YLR085C', 'YLR385C', 'YLR399C', 'YML041C', 'YNL107W', 'YPL235W']"
TFIIK complex,3,"['YDL108W', 'YDR460W', 'YPR025C']"
THO complex part of transcription export complex,4,"['YDR138W', 'YHR167W', 'YML062C', 'YNL139C']"
TORC1 complex,5,"['YHR186C', 'YJR066W', 'YKL203C', 'YNL006W', 'YPL180W']"
TORC2 complex,7,"['YBR270C', 'YER093C', 'YJL058C', 'YKL203C', 'YMR068W', 'YNL006W', 'YOL078W']"
TRAMP complex,7,"['YDL175C', 'YIL079C', 'YJL050W', 'YJR036C', 'YNL299W', 'YNR024W', 'YOL115W']"
